property_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
1,Apartment,Entire home/apt,4,1,1,1,Real Bed
2,Apartment,Entire home/apt,4,1,1,1,Real Bed
3,House,Entire home/apt,11,4.5,5,7,Real Bed
4,Apartment,Entire home/apt,3,1,0,2,Real Bed
5,House,Entire home/apt,6,2,3,3,Real Bed
6,House,Private room,2,1,1,1,Real Bed
7,House,Private room,2,1,1,1,Real Bed
8,Cabin,Private room,2,1,1,1,Real Bed
9,Apartment,Private room,2,1,1,1,Real Bed
10,Apartment,Entire home/apt,4,1,1,1,Real Bed
11,House,Entire home/apt,2,1,1,1,Real Bed
12,House,Entire home/apt,2,1,1,1,Real Bed
13,Apartment,Entire home/apt,4,1,2,3,Real Bed
14,House,Entire home/apt,5,1,2,3,Real Bed
15,House,Entire home/apt,16,3.5,6,15,Real Bed
16,House,Entire home/apt,5,1,2,2,Real Bed
17,Apartment,Private room,2,1,1,1,Real Bed
18,House,Private room,2,1,1,1,Real Bed
19,Apartment,Private room,2,2,1,1,Futon
20,House,Entire home/apt,10,3.5,5,5,Real Bed
21,Condominium,Entire home/apt,1,1,1,1,Real Bed
22,House,Private room,3,1.5,1,2,Real Bed
23,House,Entire home/apt,8,2,4,4,Real Bed
24,House,Private room,2,1,1,1,Real Bed
25,House,Entire home/apt,5,2.5,3,3,Real Bed
26,House,Entire home/apt,8,2.5,3,5,Real Bed
27,House,Entire home/apt,5,1,2,3,Real Bed
28,Camper/RV,Private room,2,1,1,1,Real Bed
29,Apartment,Entire home/apt,6,2,3,3,Real Bed
30,Apartment,Entire home/apt,3,1,1,2,Real Bed
31,Apartment,Entire home/apt,4,1,1,1,Real Bed
32,House,Entire home/apt,6,1.5,3,3,Real Bed
33,House,Entire home/apt,4,3,3,2,Real Bed
34,House,Entire home/apt,7,3.5,4,3,Real Bed
35,Apartment,Entire home/apt,4,1,2,2,Real Bed
36,Apartment,Entire home/apt,4,1,1,2,Real Bed
37,House,Entire home/apt,8,3,3,3,Real Bed
38,House,Private room,1,1,1,1,Futon
39,Apartment,Entire home/apt,4,1,1,2,Real Bed
40,Apartment,Entire home/apt,2,1,0,1,Real Bed
41,Apartment,Entire home/apt,4,1,1,2,Real Bed
42,House,Entire home/apt,3,1,1,2,Real Bed
43,House,Entire home/apt,4,1.5,2,2,Real Bed
44,Apartment,Entire home/apt,3,1.5,1,2,Real Bed
45,House,Private room,5,1,1,1,Real Bed
46,Apartment,Entire home/apt,2,1,0,1,Futon
47,Bungalow,Entire home/apt,10,3,4,4,Real Bed
48,Bungalow,Entire home/apt,2,1,0,1,Real Bed
49,House,Entire home/apt,4,1,1,2,Real Bed
50,House,Entire home/apt,4,1,1,3,Real Bed
51,House,Entire home/apt,2,1,0,1,Real Bed
52,Apartment,Entire home/apt,2,1,0,1,Real Bed
53,Apartment,Entire home/apt,3,1,1,1,Futon
54,Apartment,Private room,3,1,1,1,Real Bed
55,Townhouse,Entire home/apt,2,1.5,1,1,Real Bed
56,Apartment,Entire home/apt,2,1,1,1,Real Bed
57,Townhouse,Private room,2,1,1,1,Futon
58,House,Entire home/apt,2,1,0,1,Real Bed
59,House,Entire home/apt,4,2.5,3,3,Real Bed
60,House,Private room,2,2,1,1,Real Bed
61,Apartment,Private room,2,1,1,1,Futon
62,Apartment,Entire home/apt,2,1,0,1,Real Bed
63,House,Private room,2,1,1,1,Real Bed
64,Camper/RV,Private room,2,1,1,2,Real Bed
65,House,Entire home/apt,4,1,2,2,Real Bed
66,House,Entire home/apt,6,2.5,3,4,Real Bed
67,Apartment,Entire home/apt,2,1,1,1,Real Bed
68,House,Entire home/apt,12,3.5,5,7,Real Bed
69,Apartment,Entire home/apt,2,1,1,1,Real Bed
70,Condominium,Private room,2,1,1,1,Real Bed
71,Apartment,Private room,2,1,1,1,Real Bed
72,House,Private room,2,1,1,1,Pull-out Sofa
73,Apartment,Private room,4,1,1,4,Real Bed
74,House,Entire home/apt,4,1,2,2,Real Bed
75,House,Private room,2,1,1,1,Futon
76,House,Private room,2,1,1,1,Real Bed
77,House,Private room,4,1,1,2,Real Bed
78,House,Private room,2,1,1,1,Real Bed
79,House,Private room,2,1,1,1,Real Bed
80,House,Private room,1,1,1,1,Pull-out Sofa
81,House,Entire home/apt,4,1,0,2,Real Bed
82,House,Entire home/apt,6,1,3,4,Real Bed
83,Apartment,Entire home/apt,2,1.5,1,1,Real Bed
84,House,Private room,2,0.5,1,1,Real Bed
85,Apartment,Entire home/apt,4,1,1,3,Real Bed
86,Apartment,Entire home/apt,2,1,1,1,Real Bed
87,Apartment,Entire home/apt,4,2,2,2,Real Bed
88,Townhouse,Private room,1,1,1,1,Real Bed
89,Apartment,Entire home/apt,6,1,2,3,Real Bed
90,Apartment,Entire home/apt,2,1.5,1,1,Real Bed
91,Bungalow,Entire home/apt,4,1,1,3,Real Bed
92,House,Entire home/apt,7,4,3,3,Real Bed
93,House,Entire home/apt,5,1.5,2,2,Real Bed
94,Apartment,Entire home/apt,2,1,1,1,Real Bed
95,Apartment,Entire home/apt,4,1,1,2,Real Bed
96,Apartment,Entire home/apt,4,2,2,2,Real Bed
97,Cabin,Entire home/apt,2,1,1,1,Futon
98,House,Entire home/apt,8,2.5,3,5,Real Bed
99,House,Entire home/apt,1,1,0,1,Real Bed
100,Apartment,Entire home/apt,4,1,1,2,Real Bed
101,Apartment,Entire home/apt,2,1,1,1,Real Bed
102,House,Private room,2,1,1,1,Real Bed
103,House,Entire home/apt,6,2.5,3,4,Real Bed
104,House,Entire home/apt,3,1,1,2,Real Bed
105,Condominium,Entire home/apt,2,1,1,1,Real Bed
106,Apartment,Entire home/apt,5,1,2,4,Real Bed
107,House,Entire home/apt,6,1.5,3,4,Real Bed
108,Apartment,Entire home/apt,2,1,1,1,Real Bed
109,Apartment,Entire home/apt,4,1,1,1,Real Bed
110,Apartment,Entire home/apt,5,2,2,2,Real Bed
111,House,Private room,2,1,1,1,Futon
112,Apartment,Entire home/apt,2,1,1,2,Real Bed
113,Apartment,Entire home/apt,3,1,1,1,Real Bed
114,Townhouse,Private room,2,1,1,1,Real Bed
115,House,Entire home/apt,5,3,3,5,Real Bed
116,Apartment,Private room,3,1,1,1,Real Bed
117,Apartment,Entire home/apt,3,1,0,1,Real Bed
118,Apartment,Entire home/apt,2,1,1,1,Real Bed
119,Townhouse,Private room,2,1.5,1,1,Real Bed
120,House,Entire home/apt,5,1.5,2,2,Real Bed
121,House,Entire home/apt,6,1.5,2,3,Real Bed
122,Apartment,Entire home/apt,4,1,1,1,Real Bed
123,House,Entire home/apt,5,3,2,2,Real Bed
124,House,Entire home/apt,3,1,2,2,Real Bed
125,House,Private room,2,1,1,1,Real Bed
126,House,Entire home/apt,8,2.5,4,5,Real Bed
127,House,Entire home/apt,2,1,1,1,Futon
128,House,Private room,2,1,1,1,Real Bed
129,Townhouse,Entire home/apt,2,1,0,1,Real Bed
130,House,Entire home/apt,2,1,1,1,Futon
131,Loft,Private room,3,1,1,1,Real Bed
132,House,Entire home/apt,4,2.5,3,2,Real Bed
133,Apartment,Entire home/apt,2,1,1,1,Real Bed
134,Apartment,Entire home/apt,2,1,0,1,Real Bed
135,House,Private room,2,1,1,1,Real Bed
136,Apartment,Entire home/apt,4,1,1,2,Real Bed
137,Apartment,Private room,1,1,1,1,Futon
138,Apartment,Entire home/apt,2,1,1,1,Real Bed
139,House,Entire home/apt,4,1,1,1,Real Bed
140,House,Entire home/apt,4,1,2,2,Real Bed
141,House,Entire home/apt,2,1,1,1,Real Bed
142,House,Entire home/apt,10,2.5,3,5,Real Bed
143,House,Entire home/apt,6,3,3,3,Real Bed
144,House,Private room,2,1.5,1,1,Real Bed
145,House,Private room,2,1,1,1,Real Bed
146,House,Entire home/apt,4,1,2,2,Real Bed
147,House,Entire home/apt,4,1,2,2,Real Bed
148,House,Private room,2,1.5,1,1,Real Bed
149,House,Private room,2,1,1,1,Real Bed
150,Townhouse,Private room,2,1.5,1,1,Real Bed
151,House,Private room,2,1,1,1,Real Bed
152,House,Entire home/apt,8,1,2,6,Real Bed
153,Apartment,Private room,2,1,1,1,Real Bed
154,Apartment,Private room,1,2,1,1,Real Bed
155,House,Entire home/apt,4,2,3,3,Real Bed
156,Apartment,Entire home/apt,2,1,1,1,Real Bed
157,House,Private room,1,1,1,1,Pull-out Sofa
158,Apartment,Private room,2,1,1,1,Futon
159,Townhouse,Entire home/apt,8,2.5,4,4,Real Bed
160,House,Entire home/apt,2,1,1,1,Real Bed
161,House,Entire home/apt,8,2,2,4,Real Bed
162,Apartment,Entire home/apt,2,1,1,1,Real Bed
163,House,Entire home/apt,10,2,3,3,Real Bed
164,Apartment,Entire home/apt,3,1,1,2,Real Bed
165,House,Entire home/apt,2,1,0,1,Real Bed
166,House,Private room,4,1.5,1,2,Real Bed
167,House,Entire home/apt,3,1,1,3,Real Bed
168,House,Entire home/apt,4,1,1,1,Real Bed
169,Apartment,Entire home/apt,4,1,1,3,Real Bed
170,House,Entire home/apt,6,1,2,3,Real Bed
171,Apartment,Entire home/apt,4,1,2,2,Real Bed
172,Apartment,Entire home/apt,4,1,1,2,Real Bed
173,House,Private room,2,1,1,1,Real Bed
174,House,Private room,1,1,1,1,Real Bed
175,Apartment,Entire home/apt,4,1,2,2,Real Bed
176,House,Private room,2,1,1,1,Real Bed
177,Apartment,Entire home/apt,3,1,1,1,Real Bed
178,House,Private room,2,1,1,1,Real Bed
179,Camper/RV,Entire home/apt,2,1,0,1,Pull-out Sofa
180,Apartment,Entire home/apt,3,1,2,2,Real Bed
181,House,Private room,2,1,1,1,Real Bed
182,House,Entire home/apt,8,3.5,4,4,Real Bed
183,Apartment,Entire home/apt,4,1,0,1,Real Bed
184,House,Private room,2,1,1,1,Real Bed
185,House,Entire home/apt,12,2,4,5,Real Bed
186,House,Entire home/apt,6,1.5,3,3,Real Bed
187,House,Private room,2,1,1,1,Real Bed
188,House,Entire home/apt,3,1,1,1,Real Bed
189,Townhouse,Private room,3,1,1,2,Real Bed
190,House,Private room,3,1,1,2,Real Bed
191,Apartment,Entire home/apt,4,1,1,1,Real Bed
192,House,Entire home/apt,2,1,1,1,Real Bed
193,House,Private room,2,1,1,2,Real Bed
194,House,Entire home/apt,5,1,1,3,Real Bed
195,House,Entire home/apt,4,1,1,2,Real Bed
196,House,Entire home/apt,8,2,3,3,Real Bed
197,House,Entire home/apt,6,2,3,3,Real Bed
198,House,Entire home/apt,2,1,1,1,Real Bed
199,Townhouse,Entire home/apt,5,3,2,2,Real Bed
200,House,Private room,2,1,1,1,Real Bed
201,Apartment,Private room,2,1,1,1,Real Bed
202,Apartment,Private room,2,1,1,1,Real Bed
203,Apartment,Entire home/apt,2,1,1,1,Real Bed
204,Apartment,Private room,2,1,1,1,Real Bed
205,Apartment,Entire home/apt,2,1,1,1,Real Bed
206,House,Entire home/apt,6,2.5,3,4,Real Bed
207,Apartment,Shared room,2,1,1,1,Pull-out Sofa
208,Apartment,Entire home/apt,4,1,1,1,Real Bed
209,Apartment,Entire home/apt,4,1,1,2,Real Bed
210,Apartment,Entire home/apt,5,1,1,4,Real Bed
211,Apartment,Entire home/apt,4,1,1,1,Real Bed
212,Apartment,Entire home/apt,4,1,1,2,Real Bed
213,Boat,Entire home/apt,1,1,1,1,Real Bed
214,Apartment,Entire home/apt,4,1,1,2,Real Bed
215,Apartment,Entire home/apt,4,1,1,2,Real Bed
216,Apartment,Entire home/apt,3,1,1,1,Real Bed
217,House,Entire home/apt,6,2,3,3,Real Bed
218,Apartment,Entire home/apt,2,1,1,1,Real Bed
219,Apartment,Entire home/apt,2,1.5,1,1,Real Bed
220,House,Entire home/apt,10,2,2,5,Real Bed
221,Apartment,Entire home/apt,2,1,1,1,Real Bed
222,Apartment,Entire home/apt,4,1.5,1,2,Real Bed
223,Apartment,Entire home/apt,2,1,1,1,Real Bed
224,Condominium,Entire home/apt,4,2,2,1,Real Bed
225,Apartment,Entire home/apt,4,1,2,3,Real Bed
226,House,Entire home/apt,5,2,3,3,Real Bed
227,Apartment,Entire home/apt,4,1,1,2,Real Bed
228,Apartment,Entire home/apt,4,2,2,2,Real Bed
229,House,Private room,2,1.5,1,1,Real Bed
230,Apartment,Entire home/apt,4,1,1,1,Real Bed
231,Apartment,Private room,2,1,1,1,Real Bed
232,House,Entire home/apt,8,1.5,3,5,Real Bed
233,House,Private room,2,1.5,1,1,Real Bed
